"ward","type","location","year","est_cost","temp_id","intersection_1","intersection_2","intersection_3","intersection_4"
1,"Alley Resurface Menu","N WOOD ST & N HERMITAGE AV & W POTOMAC AV & W ELLEN ST",2005,9898,1,"N WOOD ST & W POTOMAC AV","N HERMITAGE AV & W POTOMAC AV","N WOOD ST & W ELLEN ST","N HERMITAGE AV & W ELLEN ST"
1,"Alley Resurface Menu","W AUGUSTA BV & W THOMAS ST & N HONORE ST & N WOLCOTT AV",2005,5662,2,"N HONORE ST & W AUGUSTA BV","N WOLCOTT AV & W AUGUSTA BV","N HONORE ST & W THOMAS ST","N WOLCOTT AV & W THOMAS ST"
1,"Alley Resurface Menu","N OAKLEY & N CLAREMONT AV & W POTOMAC AV & W HIRSCH ST",2005,15806,3,"N OAKLEY & W POTOMAC AV","N CLAREMONT AV & W POTOMAC AV","N OAKLEY & W HIRSCH ST","N CLAREMONT AV & W HIRSCH ST"
1,"Alley Resurface Menu","W FULLERTON AV & W ALTGELD ST & N MAPLEWOOD AV & N CAMPBELL AV",2005,18260,4,"N MAPLEWOOD AV & W FULLERTON AV","N CAMPBELL AV & W FULLERTON AV","N MAPLEWOOD AV & W ALTGELD ST","N CAMPBELL AV & W ALTGELD ST"
1,"Alley Resurface Menu","W DIVISION ST & N GREENVIEW AV & W BLACKHAWK ST & N BOSWORTH AV",2005,5361,5,"N GREENVIEW AV & W DIVISION ST","N BOSWORTH AV & W DIVISION ST","N GREENVIEW AV & W BLACKHAWK ST","N BOSWORTH AV & W BLACKHAWK ST"
1,"Alley Speed Hump Menu","N CAMPBELL AV & N MAPLEWOOD AV & W NORTH AV & W WABANSIA AV",2005,3500,6,"N CAMPBELL AV & W NORTH AV","N MAPLEWOOD AV & W NORTH AV","N CAMPBELL AV & W WABANSIA AV","N MAPLEWOOD AV & W WABANSIA AV"
1,"Alley Speed Hump Menu","N HONORE ST & N WOOD ST & W NORTH AV & N ELK GROVE AV",2005,3500,7,"N HONORE ST & W NORTH AV","N WOOD ST & W NORTH AV","N ELK GROVE AV & W NORTH AV","NA"
1,"Alley Speed Hump Menu","N BELL AV & N OAKLEY & W POTOMAC AV & W HIRSCH ST",2005,1750,8,"N BELL AV & W POTOMAC AV","N OAKLEY & W POTOMAC AV","N BELL AV & W HIRSCH ST","N OAKLEY & W HIRSCH ST"
1,"Alley Speed Hump Menu","W THOMAS ST & W HADDON AV & N WESTERN AV & N CAMPBELL AV",2005,3500,9,"N WESTERN AV & W THOMAS ST","N CAMPBELL AV & W THOMAS ST","N WESTERN AV & W HADDON AV","N CAMPBELL AV & W HADDON AV"
1,"Alley Speed Hump Menu","N MARSHFIELD AV & N PAULINA ST & W NORTH AV & W WABANSIA AV",2005,4375,10,"N MARSHFIELD AV & W NORTH AV","N PAULINA ST & W NORTH AV","N MARSHFIELD AV & W WABANSIA AV","N PAULINA ST & W WABANSIA AV"
1,"Alley Speed Hump Menu","W HADDON & W HADDON & W HADDON & W HADDON",2005,875,11,"NA","NA","NA","NA"
1,"Alley Speed Hump Menu","N CALIFORNIA & N CALIFORNIA & N CALIFORNIA & N CALIFORNIA",2005,875,12,"NA","NA","NA","NA"
1,"Alley Speed Hump Menu","N MAPLEWOOD & N MAPLEWOOD & N MAPLEWOOD & N MAPLEWOOD",2005,875,13,"NA","NA","NA","NA"
1,"Alley Speed Hump Menu","N Oakley & N Oakley & N Oakley & N Oakley",2005,875,14,"NA","NA","NA","NA"
1,"Alley Speed Hump Menu","N NOBLE ST & N CLEAVER ST & W DIVISION ST & W POTOMAC AV",2005,3500,15,"N NOBLE ST & W DIVISION ST","N CLEAVER ST & W DIVISION ST","N NOBLE ST & W POTOMAC AV","N CLEAVER ST & W POTOMAC AV"
1,"Alley Speed Hump Menu","N HERMITAGE AV & N WOOD ST & W CHICAGO AV & W PEARSON ST",2005,3500,16,"N HERMITAGE AV & W CHICAGO AV","N WOOD ST & W CHICAGO AV","N HERMITAGE AV & W PEARSON ST","N WOOD ST & W PEARSON ST"
1,"Alley Speed Hump Menu","W ELLEN ST & N WICKER PARK AV & N WOOD ST & N WOLCOTT AV",2005,2625,17,"N WICKER PARK AV & W ELLEN ST","N WOOD ST & W ELLEN ST","N WOLCOTT AV & W ELLEN ST","N WICKER PARK AV & N WOLCOTT AV"
1,"Alley Resurface Menu","W LE MOYNE ST & W PIERCE AV & N PAULINA ST & N WOOD ST",2006,21552,18,"N PAULINA ST & W LE MOYNE ST","N WOOD ST & W LE MOYNE ST","N PAULINA ST & W PIERCE AV","N WOOD ST & W PIERCE AV"
1,"Alley Resurface Menu","W NORTH AV & N HONORE ST & N ELK GROVE AV & N ELK GROVE AV",2006,12160,19,"N HONORE ST & W NORTH AV","N ELK GROVE AV & W NORTH AV","NA","NA"
1,"Alley Resurface Menu","W ELLEN ST & N WOOD ST & RAILROAD TRACKS & RAILROAD TRACKS",2006,5750,20,"N WOOD ST & W ELLEN ST","NA","NA","NA"
1,"Alley Resurface Menu","W ONTARIO ST & W ERIE ST & N ASHLAND AV & N PAULINA ST",2006,9191,21,"N ASHLAND AV & W ONTARIO ST","N PAULINA ST & W ONTARIO ST","N ASHLAND AV & W ERIE ST","N PAULINA ST & W ERIE ST"
1,"Alley Resurface Menu","N ASHLAND AV & W NORTH AV & W LE MOYNE ST & N BOSWORTH AV",2006,16158,22,"N ASHLAND AV & W NORTH AV","N BOSWORTH AV & W NORTH AV","N ASHLAND AV & W LE MOYNE ST","N BOSWORTH AV & W LE MOYNE ST"
1,"Alley Resurface Menu","N MOZART ST & N CALIFORNIA AV & W WABANSIA AV & W BLOOMINGDALE AV",2006,12145,23,"N MOZART ST & W WABANSIA AV","N CALIFORNIA AV & W WABANSIA AV","N MOZART ST & W BLOOMINGDALE AV","N CALIFORNIA AV & W BLOOMINGDALE AV"
1,"Alley Speed Hump Menu","W CORTLAND ST & W MOFFAT ST & N WESTERN AV & N CAMPBELL AV",2006,2500,24,"N WESTERN AV & W CORTLAND ST","N CAMPBELL AV & W CORTLAND ST","N WESTERN AV & W MOFFAT ST","N CAMPBELL AV & W MOFFAT ST"
1,"Alley Speed Hump Menu","W CORTLAND ST & W HOMER ST & N WESTERN AV & N CAMPBELL AV",2006,1000,25,"N WESTERN AV & W CORTLAND ST","N CAMPBELL AV & W CORTLAND ST","N WESTERN AV & W HOMER ST","N CAMPBELL AV & W HOMER ST"
1,"Alley Speed Hump Menu","W AUGUSTA BV & N WOOD ST & W CORTEZ ST & N HERMITAGE AV",2006,1000,26,"N WOOD ST & W AUGUSTA BV","N HERMITAGE AV & W AUGUSTA BV","N WOOD ST & W CORTEZ ST","N HERMITAGE AV & W CORTEZ ST"
