ward,type,location,year,est_cost,school_park_name,lat,long,query
47,Miscellaneous-CDOT,1733 W. Irving Park,2008,12867,1733 W. Irving Park,41.95423537500005,-87.67270744599995,census
32,Chicago Park District,3550 N Lincoln Park Construction,2005,200000,3550 N Lincoln Park,41.945794360000036,-87.67293712599997,census
45,Miscellaneous Other,4200 W Irving Park (under the UPNW,2013,12658,4200 W Irving Park,41.95360352500006,-87.73253249899994,census
4,POD Camera,4258 S. Lake Park,2010,13000,4258 S. Lake Park,41.81774590500004,-87.59947004699995,census
4,POD Camera,5158 S. Lake Park,2010,20000,5158 S. Lake Park,41.80163058000005,-87.58762362399995,census
29,Miscellaneous CDOT Projects,5700 W MIDWAY PARK,2018,2350,5700 W MIDWAY PARK,41.88906343800005,-87.76841334599999,census
4,Street Resurfacing Menu,800 S PARK TER,2022,27009.49,800 S PARK,41.871684059000074,-87.62960038699998,census
23,Chicago Park District,Archer Playground Park Renovation,2011,100000,Archer Playground Park,NA,NA,google
43,Miscellaneous-CDOT,Armitage-Larrabee Park,2008,251,Armitage-Larrabee Park,41.9183303,-87.6435084,google
43,Miscellaneous-CDOT,Armitage-Larrabee Park,2009,243,Armitage-Larrabee Park,41.9183303,-87.6435084,google
10,Schools,Arnold Mireless School - mural,2010,10000,Arnold Mireless School,41.7310266,-87.552952199999993,google
35,Chicago Park District,Athletic Field Park,2008,50000,Athletic Field Park,41.9474204,-87.7170178,google
47,Schools,Bell Elementary School - 3830 N. Oakley,2009,30000,Bell Elementary School,41.9495261,-87.6862446,google
25,School Projects,Benito Juarez High School - public art,2012,50000,Benito Juarez High School,41.8525773,-87.6642827,google
23,Schools,Blair Early Childhood Center Playground,2008,50000,Blair Early Childhood Center,41.7763901,-87.7896451,google
33,Chicago Park District,Brand Park,2008,20000,Brand Park,41.9411802,-87.6992049,google
35,Schools,Brentano School,2008,19753,Brentano School,41.9310452,-87.6961091,google
41,Chicago Park District,Brooks Park,2012,60000,Brooks Park,41.811426,-87.5992989,google
33,Chicago Park District,Buffalo Park,2007,20000,Buffalo Park,41.9632508,-87.698327,google
4,Chicago Park District,Burnham Park,2008,200000,Burnham Park,41.8253531,-87.5985856,google
4,Chicago Park District,Burnham Park,2008,25000,Burnham Park,41.8253531,-87.5985856,google
26,Schools,Cameron School - 1234 N. Monticllo,2011,20000,Cameron School,41.9040769,-87.7182641,google
46,Chicago Park District,Carendon Park,2007,300000,Carendon Park,41.9633603,-87.6486024,google
47,Miscellaneous Other,Chase Park Improvements - 4701 N. Ashland,2012,20000,Chase Park,41.9675376,-87.6682323,google
25,Chicago Park District,Claremont Playlot Park,2011,25000,Claremont Playlot Park,41.9733474,-87.7421049,google
25,Chicago Park District,Claremont Playlot Park,2012,75000,Claremont Playlot Park,41.9733474,-87.7421049,google
46,Chicago Park District,Clarenson Park,2007,124050,Clarenson Park,41.9633603,-87.6486024,google
1,Chicago Park District,Commercial Park Gym Floor,2005,29000,Commercial Park,41.896629,-87.6738079,google
1,Chicago Park District,Dean Park & Commercial Park,2008,72500,Commercial Park,41.896629,-87.6738079,google
1,Chicago Park District,"Maplewood Park,Commerical Park,Dean Park",2007,100000,Commerical Park,41.896629,-87.6738079,google
26,Schools,Darwin School - 3116 W. Belden,2011,20000,Darwin School,41.9234844,-87.704745,google
1,Chicago Park District,Dean Park,2005,50000,Dean Park,41.9069074,-87.6708675,google
1,Chicago Park District,"Maplewood Park,Commerical Park,Dean Park",2007,100000,Dean Park,41.9069074,-87.6708675,google
1,Chicago Park District,Dean Park & Commercial Park,2008,72500,Dean Park,41.9069074,-87.6708675,google
23,Chicago Park District,Dog Park,2010,80000,Dog Park,NA,NA,google
22,Miscellaneous-Other,Dominguez campus park,2009,990374,Dominguez campus park,42.0002465,-87.6583005,google
22,Miscellaneous-Other,Dominguez Campus Park,2008,709626,Dominguez Campus Park,42.0002465,-87.6583005,google
4,Miscellaneous-Other,Donoghue Elementary School & Price Elementary School,2009,20000,Donoghue Elementary School,NA,NA,google
23,Schools,Dore School,2007,8100,Dore School,41.7743673,-87.7998245,google
49,Chicago Park District,Dubkin Park - Landscaping Beds,2010,10576,Dubkin Park,42.0174314,-87.670519,google
49,Chicago Park District,Dubkin Park - Community Garden - 7442 N. Ashland,2010,22424,Dubkin Park,42.0174314,-87.670519,google
3,Miscellaneous-CDOT,DuSable Public High School,2008,154200,DuSable Public High School,41.804837,-87.6246017,google
26,Schools,Erie Charter School - 1405 N. Washtenaw,2011,20000,Erie Charter School,41.906863,-87.6943513,google
